0,1,2,3,4,5,6,7,8,9,10,11,12,etiqueta
-160.00688,145.03944,-22.35207,5.045579,-9.666919,-27.070408,-0.18848708,1.3501523,-20.237232,-20.8298,-27.962194,-19.854279,-17.069221,cuatro
-148.81499,130.61401,-8.963395,17.909266,-15.190669,-30.845736,-3.5489304,6.7510176,-26.469267,-24.923843,-21.994343,-28.431189,-10.348408,cuatro
-204.72269,164.07523,-2.7482493,23.405788,-5.688759,-38.358482,2.4306524,16.031668,-17.786001,-21.731985,-23.920706,-23.792963,-19.089067,cuatro
-193.16652,162.274,-18.704308,8.808288,1.0728168,-9.0049925,6.913813,14.024674,-12.9867325,-24.309158,-15.64955,-4.5034757,-0.60798717,cuatro
-210.19815,167.01134,-15.156443,2.0511572,-7.37228,-19.11182,-2.309061,4.5462646,-21.50668,-24.685217,-20.623186,-16.176355,-9.289724,cuatro
-154.40079,132.21306,-7.1208153,10.362957,-22.80426,-33.81228,0.4568408,5.396876,-32.183662,-28.234047,-26.640049,-25.800976,-1.7356384,cuatro
-157.74176,142.65894,-18.003765,5.658034,-15.761969,-27.11044,-3.2089143,-1.1189208,-20.588919,-24.106932,-25.36916,-20.577211,-14.553641,cuatro
-157.98308,137.39525,-9.374468,7.603381,-17.128716,-28.80793,-6.0669136,3.9260387,-24.069286,-25.992222,-29.96828,-22.928846,-6.423921,cuatro
-173.58919,134.72725,-8.329349,8.465639,-19.374138,-30.563803,-2.3946178,6.171812,-31.332016,-30.479826,-25.768478,-23.106583,-1.673713,cuatro
-180.91476,135.15019,-14.545483,7.9564185,-22.761534,-31.747131,3.5158985,6.174788,-31.371807,-27.74097,-28.663239,-25.092243,-0.30759025,cuatro
-168.4813,111.73066,-1.9460269,11.580535,-41.777794,-23.832907,11.162133,5.0255456,-33.359272,-40.859097,-21.505857,-22.058361,-11.200274,dos
-182.34254,123.72717,15.304337,18.317722,-38.064568,-27.366442,3.3090699,10.323218,-33.141735,-34.040005,-26.659649,-30.361877,-0.18453738,dos
-118.05841,74.56853,0.05508356,35.05767,-14.661367,-12.285144,10.025336,7.2589173,-14.424929,-15.630473,-20.349554,-16.49049,-2.3619568,dos
-141.82047,92.66809,1.2769865,27.565903,-10.687961,-21.094727,13.118001,21.65975,-15.514251,-29.720995,-21.830648,-13.968532,-1.122214,dos
-166.27933,114.77704,6.35382,27.35956,-28.192217,-29.752628,14.906241,9.574106,-32.48206,-31.79605,-34.917408,-32.685734,2.4999988,dos
-161.16193,112.185814,11.551581,20.423313,-34.121178,-27.428082,12.00622,4.266693,-30.913818,-29.488758,-30.514185,-27.191004,3.9837584,dos
-177.2988,120.64894,6.666678,24.397583,-29.088879,-38.40628,14.00323,12.990893,-29.765488,-27.522938,-36.151325,-35.488335,-2.207601,dos
-139.98573,121.377594,-0.19651604,17.99664,-30.04071,-27.964993,12.932173,5.6376705,-26.248003,-31.757814,-35.24916,-30.671017,-8.620579,dos
-160.20396,121.11632,6.189292,24.73439,-29.55474,-30.08404,4.9815683,12.525433,-27.125832,-33.36155,-31.463608,-37.457664,-7.43692,dos
-161.96216,120.81116,5.4491143,20.881517,-30.819782,-30.002745,7.248078,10.272873,-33.864162,-37.151985,-36.750084,-28.168837,1.697559,dos
-148.0266,88.657295,-20.247164,43.741802,26.503273,-30.768126,-15.752439,-0.37445676,-14.885693,-24.288872,-43.337524,-23.37737,-1.5655533,tres
-119.49424,91.934044,-31.629766,36.531967,29.932236,-21.359083,-22.336735,-16.519976,-20.570549,-28.618435,-41.454765,-24.28714,-3.504501,tres
-100.20031,97.725,-35.961952,22.321207,17.53059,-33.872936,-27.004354,-2.4104056,-16.556723,-25.592682,-32.66677,-24.223225,-3.474854,tres
-128.16292,85.25245,-26.206593,32.22627,22.19053,-25.24643,-21.512714,-7.01937,-16.539007,-28.024118,-38.32353,-23.276363,-5.8592806,tres
-123.682816,91.25395,-18.805183,41.096657,28.599487,-14.546794,-23.729328,-11.126924,-15.983843,-29.032093,-38.98414,-17.18271,-0.8401562,tres
-164.30325,89.15199,-28.764103,33.15316,25.481705,-16.521717,-28.114677,-4.949489,-17.162668,-30.653769,-33.68029,-24.548292,3.6364243,tres
-123.982056,96.441826,-32.90571,29.035189,33.08172,-18.684254,-24.501173,-13.805577,-13.08859,-25.343004,-42.788692,-14.100779,-3.4075062,tres
-110.540016,84.30812,-35.62437,34.61682,28.380833,-26.733707,-22.110613,-12.751144,-19.964289,-21.936375,-39.74033,-22.17779,-0.7398397,tres
-187.55167,88.5418,-22.261274,37.198727,22.350433,-17.239836,-24.62219,-11.347061,-14.453779,-24.211437,-34.414894,-16.268726,-1.8764093,tres
-222.80107,164.0101,10.991089,21.63575,-15.666014,-30.87004,-3.387155,14.896032,-9.4354315,-16.710663,-19.646973,-33.636894,-20.65789,uno
-213.66692,151.78094,9.197341,7.995575,-28.128872,-28.204166,-6.2397738,17.561943,-16.899822,-32.36862,-24.53864,-36.85537,-10.453056,uno
-214.01656,131.94418,16.046566,23.202192,-26.757492,-37.153255,-2.0818572,0.59520024,-17.443684,-21.69924,-32.027023,-31.761728,-19.284628,uno
-196.4233,143.72125,1.5053313,25.617367,-13.63839,-37.870605,4.2351747,11.452687,-20.301926,-20.385506,-31.584036,-40.482964,-17.75036,uno
-199.88814,146.49617,5.6339483,19.72577,-17.644514,-23.23711,-3.64678,7.4247193,-20.807682,-25.758947,-25.729254,-38.197433,-18.24701,uno
-204.48532,156.44879,12.416554,23.365364,-18.099518,-27.944553,-4.119161,7.3233337,-8.892973,-14.333244,-21.018188,-30.199512,-18.373753,uno
-235.8409,146.39612,21.15336,24.204693,-14.415064,-24.038376,-10.125191,6.9393325,-11.894157,-16.49954,-20.623182,-34.839043,-13.50944,uno
-266.12814,150.26247,9.887551,20.924398,-20.968655,-29.368816,-8.013017,7.431298,-19.428185,-24.367384,-21.106586,-42.667263,-20.039253,uno
-198.1729,165.08398,-1.1560293,14.079082,-16.111021,-23.065214,-1.8190717,11.051445,-12.355545,-16.884985,-18.20101,-34.07544,-17.176687,uno
-228.11774,153.05902,12.618211,24.076998,-21.166784,-22.679705,-2.942448,0.7497551,-20.071293,-20.549543,-28.579786,-41.83994,-13.848669,uno
